text,source_url
"The Earth is roughly spherical according to centuries of astronomical observations.","https://en.wikipedia.org/wiki/Earth"
"Vaccines are safe and effective; extensive studies show no link to autism.","https://www.cdc.gov/vaccinesafety"
"The Moon landing occurred on July 20, 1969, as part of NASA's Apollo 11 mission.","https://nasa.gov/apollo11"
"Climate change is driven primarily by greenhouse gas emissions from human activity.","https://climate.nasa.gov/"
"COVID-19 vaccines prevent severe illness and hospitalization.","https://who.int"
"5G mobile technology does not cause COVID-19; this is misinformation.","https://who.int"
"Smoking increases the risk of lung cancer and heart disease.","https://www.cancer.org"
"Barack Obama served as the 44th president of the United States from 2009 to 2017.","https://en.wikipedia.org/wiki/Barack_Obama"
"Water boils at 100Â°C under standard atmospheric pressure.","https://en.wikipedia.org/wiki/Boiling_point"
"Earth orbits around the Sun once every 365 days.","https://en.wikipedia.org/wiki/Orbit_of_Earth"
"Artificial intelligence systems learn from data patterns, not human emotions.","https://en.wikipedia.org/wiki/Artificial_intelligence"
"The human body requires oxygen for cellular respiration.","https://en.wikipedia.org/wiki/Respiration_(physiology)"
"Elon Musk is the CEO of Tesla and SpaceX.","https://en.wikipedia.org/wiki/Elon_Musk"
"Albert Einstein developed the theory of relativity.","https://en.wikipedia.org/wiki/Albert_Einstein"
"Plastic pollution poses a threat to marine ecosystems.","https://en.wikipedia.org/wiki/Plastic_pollution"
"Renewable energy sources include solar, wind, and hydropower.","https://en.wikipedia.org/wiki/Renewable_energy"
"Diabetes is caused by problems with insulin production or response.","https://en.wikipedia.org/wiki/Diabetes"
"Vaccination helps prevent the spread of infectious diseases.","https://en.wikipedia.org/wiki/Vaccination"
"The Great Wall of China is over 13,000 miles long.","https://en.wikipedia.org/wiki/Great_Wall_of_China"
"The Amazon rainforest produces about 20% of Earth's oxygen.","https://en.wikipedia.org/wiki/Amazon_rainforest"
